EpochIndex,EpochT,PrnSatellitesIndex,Pseudorange,Snr,SatPosX,SatPosY,SatPosZ,SatSystem,rec_bias,cov
5,1.56704323307112e+18,133,25386978.1026288,27,-16130856.3321077,-10280810.609049,24444129.1559879,4,0.000357009399162518,1.9100898436
5,1.56704323307112e+18,135,22777872.703552,35,-873665.727041361,18238882.4712599,1789323.27996117,4,0.000357009399162518,0.851046840484
6,1.56704323406835e+18,1,21845993.687351,30,-13364104.1322111,12313488.9822612,-5291488.90079026,1,0.000357541303556861,1.0501945441
6,1.56704323406835e+18,7,21211999.3081893,12,-1114825.41837054,10392394.4469405,18993616.7997741,1,0.000357541303556861,-1
6,1.56704323406835e+18,8,21151417.3369775,21,-9482785.95021959,5064003.6126433,21493878.4449007,1,0.000357541303556861,0.723983160384
6,1.56704323406835e+18,9,22987859.1331665,30,5842520.78888884,15792578.0784183,-3066127.54209558,1,0.000357541303556861,1.4698652644
6,1.56704323406835e+18,16,24279882.5524727,13,-25072248.0379279,-9530026.05220273,11386592.4481075,1,0.000357541303556861,-1
6,1.56704323406835e+18,21,20717785.9459291,29,-17293082.865982,10293321.7492866,4292126.23363466,1,0.000357541303556861,0.739532921521
6,1.56704323406835e+18,27,23261865.986882,21,-15046524.6904835,-7136742.67711348,23266688.6031926,1,0.000357541303556861,1.4537366041
6,1.56704323406835e+18,107,37420463.8878606,36,4089476.2225343,32233564.4704713,103265.667109282,4,0.000357541303556861,0.925009227076
6,1.56704323406835e+18,108,36494191.3085151,28,-15019021.4099967,29829488.5849221,685170.567804754,4,0.000357541303556861,0.731772460969
6,1.56704323406835e+18,112,36981088.0789159,29,-14833406.6021122,13111703.6998746,34067134.4109382,4,0.000357541303556861,0.713504574864
6,1.56704323406835e+18,132,21888203.3004786,44,-12388477.8586227,9664525.5174942,17552880.5235213,4,0.000357541303556861,0.637313225761
6,1.56704323406835e+18,133,25387710.5011528,27,-16130720.8862118,-10283431.0822662,24444148.8365223,4,0.000357541303556861,1.9103386225
6,1.56704323406835e+18,135,22777700.3342562,35,-873781.560290726,18238843.9432549,1792432.32057748,4,0.000357541303556861,0.850731367201
7,1.56704323506519e+18,1,21845569.5354619,30,-13364814.018288,12313972.8673512,-5288394.26618208,1,0.000358084974575094,1.0497641764
7,1.56704323506519e+18,8,21151947.8141183,21,-9483797.11137041,5061658.87402468,21495165.4497759,1,0.000358084974575094,0.723840220944
7,1.56704323506519e+18,9,22988402.3252893,29,5842038.36555062,15792149.0113347,-3069216.16512949,1,0.000358084974575094,1.4698895121
7,1.56704323506519e+18,16,24280372.6459621,12,-25073427.7258615,-9530546.68503134,11383759.1973605,1,0.000358084974575094,-1
7,1.56704323506519e+18,21,20717786.8880117,29,-17293184.0070637,10292904.2234111,4295299.92196331,1,0.000358084974575094,0.739261198809
7,1.56704323506519e+18,27,23262610.5128332,21,-15047459.8224492,-7139383.4214471,23266396.6871036,1,0.000358084974575094,1.4538330625
7,1.56704323506519e+18,107,37420624.2809474,35,4089470.80206447,32233564.0489091,103270.966873791,4,0.000358084974575094,0.924793802244
7,1.56704323506519e+18,108,36494341.1962883,27,-15019022.5702852,29829485.8409495,685235.646351192,4,0.000358084974575094,0.731558617344
7,1.56704323506519e+18,112,36981212.7488267,29,-14834484.5407277,13111430.0842758,34066813.7498732,4,0.000358084974575094,0.713301863184
7,1.56704323506519e+18,132,21888575.6717042,44,-12388464.0487341,9662682.97076967,17555101.9557915,4,0.000358084974575094,0.637136011264
7,1.56704323506519e+18,133,25388441.8548099,28,-16130586.1322979,-10286051.3172097,24444168.0279402,4,0.000358084974575094,1.9105874176
7,1.56704323506519e+18,135,22777528.1278099,36,-873897.907654111,18238805.3179202,1795541.28757232,4,0.000358084974575094,0.850419641124
8,1.56704323605827e+18,1,21845140.9182916,30,-13365524.0044727,12314456.6728393,-5285299.52161343,1,0.000358613313473783,1.0493338969
8,1.56704323605827e+18,4,23707291.3033478,13,-3506950.74296551,12614382.4067286,-12590896.8066145,1,0.000358613313473783,-1
8,1.56704323605827e+18,8,21152475.5722156,22,-9484808.84921584,5059314.21919028,21496451.9891274,1,0.000358613313473783,0.723698997025
8,1.56704323605827e+18,9,22988941.728651,29,5841555.3986719,15791719.7822486,-3072304.72745211,1,0.000358613313473783,1.4698895121
8,1.56704323605827e+18,16,24280861.2454488,10,-25074607.4850815,-9531066.9740028,11380925.7029015,1,0.000358613313473783,-1
8,1.56704323605827e+18,21,20717786.5731187,29,-17293285.3123716,10292486.5578542,4298473.51294035,1,0.000358613313473783,0.738992964609
8,1.56704323605827e+18,27,23263356.4057311,21,-15048395.4826542,-7142023.89649215,23266104.2647798,1,0.000358613313473783,1.4539295241
8,1.56704323605827e+18,107,37420785.0468664,36,4089464.99835472,32233563.8012357,103276.237871034,4,0.000358613313473783,0.9245784025
8,1.56704323605827e+18,108,36494499.8291004,28,-15019024.1139751,29829483.2704624,685300.693024207,4,0.000358613313473783,0.731348225721
8,1.56704323605827e+18,112,36981338.9007287,28,-14835562.9032355,13111156.8009053,34066492.8813749,4,0.000358613313473783,0.713099180304
8,1.56704323605827e+18,132,21888948.2170312,44,-12388450.7326188,9660840.34345058,17557323.0564685,4,0.000358613313473783,0.636960417604
8,1.56704323605827e+18,133,25389171.5127083,27,-16130451.937317,-10288671.3898314,24444186.7620479,4,0.000358613313473783,1.9108638756
8,1.56704323605827e+18,135,22777356.1592643,36,-874014.636128393,18238766.5192501,1798650.21269434,4,0.000358613313473783,0.850107972169
9,1.56704323705836e+18,1,21844713.0919392,28,-13366233.5430701,12314940.0046268,-5282204.39235735,1,0.000359145272755819,1.0489037056
9,1.56704323705836e+18,4,23708000.8041803,14,-3507706.07036351,12612743.2799589,-12593318.7645542,1,0.000359145272755819,-1
9,1.56704323705836e+18,7,21211213.1608649,11,-1119552.03512327,10396937.2511791,18987932.2389672,1,0.000359145272755819,-1
9,1.56704323705836e+18,8,21153003.6571543,21,-9485820.61603621,5056969.254192,21497738.3377631,1,0.000359145272755819,0.723561189376
9,1.56704323705836e+18,9,22989483.7317486,28,5841072.43592845,15791289.9971608,-3075392.95408469,1,0.000359145272755819,1.46991376
9,1.56704323705836e+18,16,24281347.0464899,12,-25075786.7678457,-9531587.31319573,11378092.2396257,1,0.000359145272755819,-1
9,1.56704323705836e+18,21,20717789.356079,29,-17293386.2342453,10292068.3585623,4301647.28129851,1,0.000359145272755819,0.738724779081
9,1.56704323705836e+18,27,23264100.9123227,21,-15049331.1233726,-7144664.49624762,23265811.6110741,1,0.000359145272755819,1.4540501056
9,1.56704323705836e+18,107,37420945.0105992,36,4089459.35911168,32233563.333412,103281.754948323,4,0.000359145272755819,0.9243668736
9,1.56704323705836e+18,108,36494651.8747737,27,-15019025.4933601,29829480.4794219,685365.982674065,4,0.000359145272755819,0.731137864356
9,1.56704323705836e+18,112,36981464.3714659,29,-14836641.1419137,13110883.4557278,34066172.0802898,4,0.000359145272755819,0.712899903556
9,1.56704323705836e+18,114,36919850.1711025,24,-2195747.80497168,32049399.6486703,-2152540.12845408,4,0.000359145272755819,0.867809622969
9,1.56704323705836e+18,132,21889320.9402242,43,-12388437.3626074,9658997.2415383,17559544.1003588,4,0.000359145272755819,0.636786444121
9,1.56704323705836e+18,133,25389901.0401959,26,-16130317.7535664,-10291291.6940969,24444205.3136925,4,0.000359145272755819,1.9111403536
9,1.56704323705836e+18,135,22777183.6585516,36,-874131.198056326,18238727.1532058,1801759.37074171,4,0.000359145272755819,0.849800047716
10,1.56704323807536e+18,1,21844289.0862553,26,-13366942.7877506,12315422.7148174,-5279108.38867936,1,0.000359735806279534,1.0484940816
10,1.56704323807536e+18,4,23708706.6355125,14,-3508461.57428983,12611103.538434,-12595739.6935312,1,0.000359735806279534,-1
10,1.56704323807536e+18,7,21210952.5546481,13,-1121127.11313886,10398450.8880712,18986037.5215043,1,0.000359735806279534,-1
10,1.56704323807536e+18,8,21153535.2962379,20,-9486832.56547105,5054623.83128138,21499024.9854744,1,0.000359735806279534,0.723423394849
10,1.56704323807536e+18,9,22990041.0638735,29,5840589.32364658,15790859.5082801,-3078480.3549988,1,0.000359735806279534,1.4699380081
10,1.56704323807536e+18,16,24281837.9689459,15,-25076965.7277355,-9532107.85047406,11375259.2975001,1,0.000359735806279534,2.4328512576
10,1.56704323807536e+18,21,20717789.3006998,21,-17293486.926388,10291649.4776663,4304821.71686399,1,0.000359735806279534,0.738460079569
10,1.56704323807536e+18,27,23264847.2559249,20,-15050266.8982196,-7147305.36846124,23265519.2158293,1,0.000359735806279534,1.4541465744
10,1.56704323807536e+18,107,37421104.9824133,35,4089453.73068225,32233562.4975978,103288.007937386,4,0.000359735806279534,0.9241553689
10,1.56704323807536e+18,108,36494807.3829953,29,-15019026.8620932,29829477.3199876,685432.005130025,4,0.000359735806279534,0.730930953025
10,1.56704323807536e+18,112,36981587.8131919,27,-14837719.4103972,13110609.9009076,34065851.8364495,4,0.000359735806279534,0.712702343089
10,1.56704323807536e+18,114,36920264.3136778,26,-2194500.01790758,32049221.3879743,-2155040.39341698,4,0.000359735806279534,0.867666168196
10,1.56704323807536e+18,132,21889693.8665568,44,-12388424.0923903,9657153.51723268,17561765.577253,4,0.000359735806279534,0.636614090161
10,1.56704323807536e+18,133,25390627.0265067,26,-16130183.7347014,-10293912.3778165,24444224.1727054,4,0.000359735806279534,1.9113892009
10,1.56704323807536e+18,135,22777010.8603614,36,-874247.747140041,18238687.0719471,1804869.25148674,4,0.000359735806279534,0.8494940224
11,1.56704323906173e+18,1,21843867.1372847,25,-13367652.356188,12315904.8240117,-5276011.21764707,1,0.000360257968002876,1.0480640625
11,1.56704323906173e+18,4,23709414.4303736,14,-3509217.87239969,12609463.2028877,-12598159.3004675,1,0.000360257968002876,-1
11,1.56704323906173e+18,7,21210695.9793357,12,-1122702.56385328,10399964.0903072,18984143.455899,1,0.000360257968002876,-1
11,1.56704323906173e+18,8,21154061.2200378,19,-9487845.31519455,5052277.97110219,21500312.225255,1,0.000360257968002876,0.723289015296
11,1.56704323906173e+18,9,22990584.2763708,30,5840105.44409198,15790428.336244,-3081566.63745139,1,0.000360257968002876,1.4699380081
11,1.56704323906173e+18,16,24282326.9057947,15,-25078144.9823835,-9532628.56523822,11372427.1694988,1,0.000360257968002876,2.4330384324
11,1.56704323906173e+18,21,20717799.8106553,29,-17293588.0064885,10291229.9358134,4307997.11240678,1,0.000360257968002876,0.738197145856
11,1.56704323906173e+18,27,23265593.6903015,19,-15051203.4248179,-7149946.49243466,23265227.3720323,1,0.000360257968002876,1.4542430464
11,1.56704323906173e+18,107,37421263.7307247,36,4089447.49542077,32233561.3144423,103295.289818708,4,0.000360257968002876,0.923945810841
11,1.56704323906173e+18,108,36494962.2666985,27,-15019028.8378202,29829473.8128087,685499.05337312,4,0.000360257968002876,0.730724070976
11,1.56704323906173e+18,112,36981714.6128406,25,-14838798.3262891,13110336.1571045,34065532.4428418,4,0.000360257968002876,0.712506498201
11,1.56704323906173e+18,114,36920675.894376,25,-2193252.86330316,32049042.5934093,-2157539.6171443,4,0.000360257968002876,0.8675245881
11,1.56704323906173e+18,132,21890067.1249051,44,-12388411.5396505,9655309.19122409,17563987.7800899,4,0.000360257968002876,0.636443355076
11,1.56704323906173e+18,133,25391356.8573194,26,-16130050.4983741,-10296533.4202165,24444243.6320664,4,0.000360257968002876,1.9116657169
12,1.56704324006116e+18,1,21843436.0519889,24,-13368362.492813,12316386.3285017,-5272912.96769743,1,0.000360787353108624,1.0476341316
12,1.56704324006116e+18,4,23710122.0823147,13,-3509975.20910215,12607822.2696872,-12600577.6738154,1,0.000360787353108624,-1
12,1.56704324006116e+18,7,21210437.0811629,12,-1124278.63166751,10401476.8541836,18982249.9536622,1,0.000360787353108624,-1
12,1.56704324006116e+18,8,21154587.8430243,17,-9488859.10956213,5049931.67009628,21501599.9685642,1,0.000360787353108624,0.723156348996
12,1.56704324006116e+18,9,22991124.2075488,30,5839620.55286117,15789996.4774237,-3084651.88975189,1,0.000360787353108624,1.4699622564
12,1.56704324006116e+18,16,24282810.7569896,23,-25079324.776141,-9533149.46120606,11369595.767166,1,0.000360787353108624,2.4332256144
12,1.56704324006116e+18,21,20717803.0256606,29,-17293689.7189805,10290809.7292831,4311173.37956102,1,0.000360787353108624,0.737935977024
12,1.56704324006116e+18,27,23266340.6529905,18,-15052140.9475181,-7152587.87177505,23264935.9912048,1,0.000360787353108624,1.4543395216
12,1.56704324006116e+18,107,37421421.7535109,36,4089440.40894741,32233559.7802703,103303.512105717,4,0.000360787353108624,0.923740120996
12,1.56704324006116e+18,108,36495116.5764132,29,-15019031.6649208,29829469.9542103,685567.038916455,4,0.000360787353108624,0.730520637025
12,1.56704324006116e+18,112,36981840.7686313,22,-14839878.1339603,13110062.2206455,34065213.8109771,4,0.000360787353108624,0.712312368196
12,1.56704324006116e+18,114,36921088.3584153,25,-2192006.58557985,32048863.2613057,-2160037.88808036,4,0.000360787353108624,0.867384882225
12,1.56704324006116e+18,132,21890440.7431421,43,-12388399.9488049,9653464.25987768,17566210.6203417,4,0.000360787353108624,0.636274238224
12,1.56704324006116e+18,133,25392087.1389355,26,-16129918.2889663,-10299154.8249421,24444263.6032888,4,0.000360787353108624,1.9119422529
12,1.56704324006116e+18,135,22776663.0917414,36,-874482.90428848,18238604.8220598,1811091.9713091,4,0.000360787353108624,0.8488858225
13,1.56704324106183e+18,1,21843005.7138201,23,-13369072.9216368,12316867.5266885,-5269813.86800913,1,0.000361320910999803,1.0472247556
13,1.56704324106183e+18,4,23710828.3553147,14,-3510733.30843462,12606181.0373476,-12602995.0425435,1,0.000361320910999803,-1
13,1.56704324106183e+18,7,21210179.0617008,12,-1125855.04056288,10402989.4780916,18980356.7858414,1,0.000361320910999803,-1
13,1.56704324106183e+18,8,21155114.4077565,17,-9489873.67258401,5047585.22679284,21502887.9863686,1,0.000361320910999803,0.723025395481
13,1.56704324106183e+18,9,22991664.3686814,31,5839134.92590828,15789564.2303234,-3087736.34080901,1,0.000361320910999803,1.4699865049
13,1.56704324106183e+18,16,24283295.6391602,25,-25080504.8329539,-9533670.23993597,11366764.8616095,1,0.000361320910999803,2.4334440025
13,1.56704324106183e+18,21,20717800.8182985,28,-17293791.7879216,10290389.1565256,4314350.28922791,1,0.000361320910999803,0.737676572161
13,1.56704324106183e+18,27,23267087.7100967,17,-15053079.190304,-7155229.20795358,23264644.8443442,1,0.000361320910999803,1.4544601201
13,1.56704324106183e+18,107,37421579.2492823,39,4089432.74725178,32233558.1935503,103312.445787874,4,0.000361320910999803,0.923534454049
13,1.56704324106183e+18,108,36495271.7867403,27,-15019035.0674056,29829466.0426605,685635.732748843,4,0.000361320910999803,0.730320649744
13,1.56704324106183e+18,112,36981968.2831326,19,-14840958.557391,13109788.3900064,34064895.7118487,4,0.000361320910999803,0.712121640129
13,1.56704324106183e+18,114,36921501.6803128,25,-2190760.90877528,32048683.6901353,-2162535.43522231,4,0.000361320910999803,0.867247050121
13,1.56704324106183e+18,132,21890814.3278787,42,-12388389.0439013,9651619.02169984,17568433.8689603,4,0.000361320910999803,0.636109929225
13,1.56704324106183e+18,133,25392822.4951414,25,-16129786.8304937,-10301776.2934247,24444283.8573616,4,0.000361320910999803,1.9122188089
13,1.56704324106183e+18,135,22776488.7959243,39,-874601.480841384,18238562.9482249,1814204.49276827,4,0.000361320910999803,0.848585488969
14,1.56704324203067e+18,1,21842579.7700516,22,-13369783.4773955,12317348.8435213,-5266714.67251714,1,0.000361840454598028,1.0468154596
14,1.56704324203067e+18,4,23711534.8784503,12,-3511492.00513732,12604539.9309379,-12605412.1604184,1,0.000361840454598028,-1
14,1.56704324203067e+18,7,21209919.5773638,13,-1127431.62525994,10404502.3869887,18978463.1986283,1,0.000361840454598028,-1
14,1.56704324203067e+18,8,21155639.2195493,16,-9490888.83898366,5045239.06625178,21504175.5248175,1,0.000361840454598028,0.722896154289
14,1.56704324203067e+18,9,22992206.5358446,31,5838648.72847456,15789132.0199826,-3090820.74436984,1,0.000361840454598028,1.4700107536
14,1.56704324203067e+18,16,24283780.5608485,26,-25081684.9875056,-9534190.47646092,11363933.6990494,1,0.000361840454598028,2.4336312001
14,1.56704324203067e+18,21,20717806.5751826,26,-17293894.0480757,10289968.6425453,4317527.0873661,1,0.000361840454598028,0.737418930361
14,1.56704324203067e+18,27,23267834.8794176,15,-15054017.9878679,-7157870.07589964,23264353.1776273,1,0.000361840454598028,1.4545566025
14,1.56704324203067e+18,107,37421736.7647131,38,4089424.67561337,32233556.9792884,103321.337033967,4,0.000361840454598028,0.923330731801
14,1.56704324203067e+18,112,36982096.6937563,17,-14842039.4312802,13109515.0901988,34064577.3916261,4,0.000361840454598028,0.7119309376
14,1.56704324203067e+18,114,36921914.5530676,26,-2189515.66763186,32048504.3049072,-2165033.01239857,4,0.000361840454598028,0.867111091344
14,1.56704324203067e+18,132,21891188.4860781,40,-12388378.6596974,9649773.90174038,17570656.7720691,4,0.000361840454598028,0.635944046521
14,1.56704324203067e+18,133,25393557.0745702,24,-16129655.9576777,-10304397.4006496,24444303.6404536,4,0.000361840454598028,1.9124953849
14,1.56704324203067e+18,135,22776314.3090057,39,-874720.465502836,18238521.0996252,1817316.95834771,4,0.000361840454598028,0.848285208576
15,1.56704324304091e+18,1,21842152.8789562,23,-13370493.8391337,12317830.4758385,-5263614.56097857,1,0.000362386062951677,1.0464062436
15,1.56704324304091e+18,4,23712242.6605923,11,-3512250.97823921,12602899.1473985,-12607828.2071267,1,0.000362386062951677,-1
15,1.56704324304091e+18,7,21209658.5699701,13,-1129008.06475445,10406015.7776952,18976570.0123139,1,0.000362386062951677,-1
15,1.56704324304091e+18,8,21156165.9193483,16,-9491904.28775365,5042893.38544951,21505463.4041227,1,0.000362386062951677,0.722770325281
15,1.56704324304091e+18,9,22992746.9540915,25,5838162.28150516,15788700.0433077,-3093904.28015379,1,0.000362386062951677,1.4700350025
15,1.56704324304091e+18,16,24284271.472177,23,-25082864.9187398,-9534709.97392687,11361103.0998558,1,0.000362386062951677,2.4338496064
15,1.56704324304091e+18,21,20717812.2558754,26,-17293996.1785009,10289548.3841915,4320704.59424606,1,0.000362386062951677,0.737164767889
15,1.56704324304091e+18,27,23268583.380647,14,-15054957.0191856,-7160510.27865719,23264061.811317,1,0.000362386062951677,-1
15,1.56704324304091e+18,107,37421894.5135589,38,4089416.51502452,32233556.3343658,103331.006097774,4,0.000362386062951677,0.923128953616
15,1.56704324304091e+18,112,36982224.0213188,16,-14843120.4346194,13109242.5181076,34064259.6705626,4,0.000362386062951677,0.711743635201
